Model,RMSE,MAE,MAPE,R²
Transformer,7543.527291658724,5145.2470703125,7.8771973,0.8364191
Ensemble (Basit Ort.),7951.936870976781,5474.94482421875,7.745033,0.818227
Ensemble,8616.173164462283,6455.27294921875,9.393889,0.7865912
LSTM,8924.372919146757,6029.181640625,8.541919,0.7710509
MLP,9823.504059143052,8650.525390625,13.687198,0.72259367
