MODEL,RMSE,MAE,MAPE,R2
MLP,8802.758658511546,7209.82373046875,11.656449,0.77724826
LSTM,10759.975836404095,6415.34716796875,8.764878,0.6671825
Transformer,10983.524388828933,7444.18798828125,11.033594,0.6532097
Hybrid,13764.886922891885,9441.25,15.991282,0.45533574
