MODEL,RMSE,MAE,MAPE,R2,Best_Epoch
MLP,14493.086351774766,12840.9365234375,20.346973,0.396183,14
LSTM,17869.86289818699,15448.662109375,24.265512,0.08203524,12
Transformer,11847.324761312151,7436.18505859375,11.411605,0.59651804,19
