MODEL,RMSE,MAE,MAPE,R2
MLP,8151.993130517223,6911.12548828125,10.715131,0.8089658
LSTM,13618.452188115945,10220.697265625,14.917055,0.46686274
Transformer,13037.383786634495,8950.3095703125,12.575713,0.5113876
