date,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
,,BTC-USD,,BTC-USD,,BTC-USD,,BTC-USD,BTC-USD
2016-01-01,1615.2037811279297,430.72100830078125,1635.922508239746,436.2460021972656,1603.1813049316406,427.5150146484375,1628.752555847168,434.3340148925781,36278900
2016-01-02,1629.832534790039,434.62200927734375,1635.2325439453125,436.06201171875,1619.5124816894531,431.8699951171875,1625.3924560546875,433.43798828125,30096600
2016-01-03,1625.9175109863281,433.5780029296875,1626.5362930297852,433.7430114746094,1592.647476196289,424.70599365234375,1612.5411987304688,430.010986328125,39633800
2016-01-04,1612.7287673950195,430.0610046386719,1629.4387435913086,434.5169982910156,1609.065055847168,429.0840148925781,1624.0912628173828,433.09100341796875,38477500
2016-01-05,1624.0087509155273,433.0690002441406,1628.1825256347656,434.1820068359375,1611.2849807739258,429.6759948730469,1619.849967956543,431.9599914550781,34522600
2016-01-06,1619.4599533081055,431.8559875488281,1619.4599533081055,431.8559875488281,1598.7787628173828,426.34100341796875,1609.1437911987305,429.1050109863281,34042500
2016-01-07,1612.5411987304688,430.010986328125,1720.3724670410156,458.7659912109375,1609.0387344360352,429.0769958496094,1717.6800155639648,458.0480041503906,87562200
2016-01-08,1715.767478942871,457.5379943847656,1736.0024642944336,462.9339904785156,1679.7674560546875,447.93798828125,1699.6125411987305,453.2300109863281,56993000
2016-01-09,1700.1862335205078,453.38299560546875,1704.9000549316406,454.6400146484375,1675.8337783813477,446.8890075683594,1678.5412216186523,447.6109924316406,32278000
2016-01-10,1680.8925247192383,448.2380065917969,1681.1587142944336,448.3089904785156,1651.3162994384766,440.35101318359375,1679.9662399291992,447.9909973144531,35995900
2016-01-11,1682.6174926757812,448.697998046875,1689.9824523925781,450.6619873046875,1664.4562911987305,443.8550109863281,1681.6050338745117,448.4280090332031,40450000
2016-01-12,1680.6825256347656,448.1820068359375,1680.6825256347656,448.1820068359375,1633.8375091552734,435.69000244140625,1633.8375091552734,435.69000244140625,115607000
2016-01-13,1629.993782043457,434.6650085449219,1631.9475173950195,435.1860046386719,1591.6612243652344,424.4429931640625,1621.391258239746,432.3710021972656,173888000
2016-01-14,1621.079978942871,432.2879943847656,1624.9650192260742,433.3240051269531,1604.4187545776367,427.8450012207031,1613.6474990844727,430.3059997558594,43945500
2016-01-15,1613.4562683105469,430.2550048828125,1613.4562683105469,430.2550048828125,1366.241226196289,364.33099365234375,1366.241226196289,364.33099365234375,153351008
2016-01-16,1369.0237426757812,365.072998046875,1464.5887756347656,390.5570068359375,1330.927505493164,354.91400146484375,1453.2600402832031,387.5360107421875,120352000
2016-01-17,1451.8200302124023,387.1520080566406,1466.1187362670898,390.9649963378906,1425.3450393676758,380.0920104980469,1433.6212921142578,382.29901123046875,45319600
2016-01-18,1431.4987564086914,381.7330017089844,1455.3900146484375,388.10400390625,1412.493782043457,376.6650085449219,1451.879997253418,387.1679992675781,54403900
2016-01-19,1451.3475036621094,387.0260009765625,1453.9875411987305,387.7300109863281,1421.1449432373047,378.97198486328125,1425.5587005615234,380.14898681640625,46819800
2016-01-20,1424.0249633789062,379.739990234375,1594.7512435913086,425.2669982910156,1412.2462463378906,376.5989990234375,1575.8625411987305,420.2300109863281,121720000
2016-01-21,1573.6199569702148,419.6319885253906,1585.788803100586,422.87701416015625,1523.6249542236328,406.29998779296875,1538.4824752807617,410.2619934082031,68338000
2016-01-22,1536.566276550293,409.7510070800781,1539.0375137329102,410.4100036621094,1407.3075485229492,375.2820129394531,1434.3450164794922,382.49200439453125,91546600
2016-01-23,1434.1274642944336,382.4339904785156,1479.536247253418,394.5429992675781,1432.4287033081055,381.9809875488281,1453.0912399291992,387.4909973144531,56247400
2016-01-24,1455.3824615478516,388.10198974609375,1520.5686950683594,405.4849853515625,1453.1625366210938,387.510009765625,1511.1412811279297,402.97100830078125,54824800
2016-01-25,1508.6886978149414,402.3169860839844,1508.6886978149414,402.3169860839844,1457.0774459838867,388.5539855957031,1468.9725494384766,391.72601318359375,59062400
2016-01-26,1470.007553100586,392.00201416015625,1491.6224670410156,397.7659912109375,1464.6562957763672,390.57501220703125,1470.5738067626953,392.15301513671875,58147000
2016-01-27,1471.6650009155273,392.4440002441406,1488.1612014770508,396.8429870605469,1469.1825485229492,391.7820129394531,1481.1449432373047,394.97198486328125,47424400
2016-01-28,1481.7974853515625,395.14599609375,1483.132553100586,395.50201416015625,1424.0061950683594,379.7349853515625,1426.083755493164,380.28900146484375,59247900
2016-01-29,1425.4050064086914,380.1080017089844,1441.421241760254,384.3789978027344,1370.4449844360352,365.4519958496094,1423.0274963378906,379.4739990234375,86125296
2016-01-30,1420.7437133789062,378.864990234375,1428.438720703125,380.9169921875,1411.8412399291992,376.4909973144531,1418.4562683105469,378.2550048828125,30284400
